name,operator,status,payload_leo_kg,payload_gto_kg,payload_escape_kg,fairing_volume_m3,list_price_usd,usd_per_kg_to_leo,usd_per_kg_to_gto,usd_per_kg_to_escape,reference_year,notes,launch_type,origin,trl,max_accel_g,tanker_flights_for_escape,country,availability,reusability,core_propellant,first_flight_year,price_basis,list_price_usd_low,list_price_usd_high,payload_leo_kg_low,payload_leo_kg_high,payload_gto_kg_low,payload_gto_kg_high,payload_escape_kg_low,payload_escape_kg_high,usd_per_kg_to_leo_low,usd_per_kg_to_leo_high,usd_per_kg_to_gto_low,usd_per_kg_to_gto_high,usd_per_kg_to_escape_low,usd_per_kg_to_escape_high,catalog_date,pipeline_version
Electron,Rocket Lab,operational,310,0.0,0.0,1.85,7500000,24194,,,2026,"Source: Rocket Lab Form 10-Q FY2026 Q1 — $7.5M; current published capacity 300 kg LEO / 200 kg SSO.  Small-sat dedicated; useful for prospector probes only.  Its Photon kick stage did send CAPSTONE (~25 kg) to the Moon, but that is a spacecraft bus, not a launch capability, so escape is 0.",chemical_rocket,earth_surface,9,6.0,0,USA / New Zealand,open,expendable,kerolox,2017,reported,7500000,7500000,300,320,0.0,0.0,0.0,0.0,23438,25000,,,,,2026-09-23,1.16.0
Alpha,Firefly Aerospace,operational,1030,0.0,0.0,22.0,16200000,15728,,,2026,"Source: Firefly, $15-17.6M.  Small-lift kerolox.  Seven flights to Mar 2026: 3 successes, 2 partial failures, 2 failures (the latest Apr 2025), then a clean return to flight Mar 2026. Listed for market completeness at the bottom end.",chemical_rocket,earth_surface,9,6.0,0,USA,open,expendable,kerolox,2021,published,15000000,17600000,1030,1030,0.0,0.0,0.0,0.0,14563,17087,,,,,2026-09-23,1.16.0
Minotaur IV,Northrop Grumman,operational,1660,0.0,0.0,,60000000,36145,,,2026,"Source: Wikipedia — ~$50M (2010), carried to 2026 dollars by CPI (x1.45) for the high end.  US GOVERNMENT MISSIONS ONLY: it flies surplus Peacekeeper ICBM motors, which law restricts to government use.  Still flying (NROL-174 Apr 2025, STP Apr 2026).",chemical_rocket,earth_surface,9,6.0,0,USA,government_only,expendable,solid,2010,estimate,50000000,72000000,1591,1735,0.0,0.0,0.0,0.0,28818,45255,,,,,2026-09-23,1.16.0
Soyuz-2.1a,Roscosmos,operational,7110,,,80.0,32400000,4557,,,2026,Source: Wikipedia (Soyuz-2) payloads by launch site.  Price estimated against the 2018 $35M quote for a 2.1b without an upper stage.  Flies Progress and crewed Soyuz.  Effectively unavailable to Western customers under sanctions.,chemical_rocket,earth_surface,9,6.0,0,Russia,restricted,expendable,kerolox,2004,estimate,30000000,35000000,6800,7430,,,,,4038,5147,,,,,2026-09-23,1.16.0
Soyuz-2.1b,Roscosmos,operational,8190,3070.0,2400.0,80.0,48500000,5922,15798.0,20208.0,2026,"Source: Glavkosmos / TASS 2018 price ($48.5M w/ Fregat); payloads from Wikipedia by launch site.  The 3,250 kg GTO figure this row used until v1.16.0 was the Kourou one, and Soyuz has not flown from Kourou since Feb 2022.  Effectively unavailable to Western customers under sanctions.",chemical_rocket,earth_surface,9,6.0,0,Russia,restricted,expendable,kerolox,2006,reported,48500000,48500000,7730,8670,2900.0,3250.0,2400.0,2400.0,5594,6274,14923.0,16724.0,20208.0,20208.0,2026-09-23,1.16.0
Angara A5,Khrunichev / Roscosmos,operational,24500,6360.0,,,100000000,4082,15723.0,,2026,"Source: Wikipedia (Angara family) — $100M (2021).  Five flights since 2014, one partial failure; first from Vostochny Apr 2024.  Replaces Proton.  Sanctions-restricted.",chemical_rocket,earth_surface,9,6.0,0,Russia,restricted,expendable,kerolox,2014,reported,100000000,100000000,24500,24500,5400.0,7500.0,,,4082,4082,13333.0,18519.0,,,2026-09-23,1.16.0
Proton-M,Khrunichev / Roscosmos,operational,22000,6600.0,4300.0,,65000000,2955,9848.0,15116.0,2026,"Source: Wikipedia (Proton-M) — $65M.  116 launches, 9 failures and 2 partial.  Being retired: no new contracts are expected and the last manifested flights are for 2029.  Escape is ExoMars TGO's ~4.3 t Mars departure, a flown figure.",chemical_rocket,earth_surface,9,6.0,0,Russia,sold_out,expendable,hypergolic,2001,reported,65000000,65000000,21000,23000,6300.0,6920.0,4300.0,4300.0,2826,3095,9393.0,10317.0,15116.0,15116.0,2026-09-23,1.16.0
Ariane 6 (A62),ArianeGroup / ESA,operational,10300,4500.0,3240.0,124.0,95900000,9311,21311.0,29599.0,2026,"Source: ESA Ariane 6 overview; price €100M (2024 est.) at $1.15/€ = $115M, against the ~€70M this row used to assume.  Worse $/kg than A64, which is the usual result when a vehicle is flown below its designed lift.  Nine Ariane 6 flights to Aug 2026, one partial failure (VA262, Jul 2024).",chemical_rocket,earth_surface,9,6.0,0,Europe,open,expendable,hydrolox,2024,estimate,80000000,115000000,10300,10350,4500.0,4500.0,3000.0,3500.0,7729,11165,17778.0,25556.0,22857.0,38333.0,2026-09-23,1.16.0
Ariane 6 (A64),ArianeGroup / ESA,operational,21600,11500.0,8290.0,124.0,123000000,5694,10696.0,14837.0,2026,"Source: ESA Ariane 6 overview; €115M (2018 est.) at $1.15/€ = $132M as the high end, with the $115M this row used to carry as the low end.  Four-booster config; first flew Feb 2026.",chemical_rocket,earth_surface,9,6.0,0,Europe,open,expendable,hydrolox,2026,estimate,115000000,132000000,21500,21650,11500.0,11500.0,8000.0,8600.0,5312,6140,10000.0,11478.0,13372.0,16500.0,2026-09-23,1.16.0
Vega C,Avio / ESA,operational,2720,0.0,0.0,47.0,45100000,16581,,,2026,"Source: Avio / ESA via Wikipedia — €48M (2022) = $55M; the published payloads are 2,300 kg to 700 km SSO and 2,250 kg to 500 km polar, and the 3,300 kg this row used to headline is the optimistic end.  VV22 failed Dec 2022 (Zefiro 40 nozzle); returned to flight Dec 2024.  Useful for a prospector probe, not a mining rig.",chemical_rocket,earth_surface,9,6.0,0,Europe,open,expendable,solid,2022,reported,37000000,55000000,2250,3300,0.0,0.0,0.0,0.0,11212,24444,,,,,2026-09-23,1.16.0
Spectrum,Isar Aerospace,operational,1000,0.0,0.0,,11500000,11500,,,2026,"Source: Isar Aerospace target of €10,000/kg, i.e. ~€10M for the full 1 t, at $1.15/€.  Maiden flight Mar 2025 lost control and fell into the sea; second flight reached orbit Sep 2026. One success in two.",chemical_rocket,earth_surface,9,6.0,0,Germany,open,expendable,propalox,2025,target,11500000,11500000,1000,1000,0.0,0.0,0.0,0.0,11500,11500,,,,,2026-09-23,1.16.0
H3 (24L),MHI / JAXA,operational,16200,7170.0,4900.0,184.0,61200000,3778,8536.0,12490.0,2026,"Source: JAXA / Wikipedia payloads.  The ¥5B (~$33M) target this row used to cite is for the H3-30, the SMALLEST config; the four-booster 24L costs more and has no published price, so $50-75M is an estimate.  First 24 flight carried HTV-X1, Oct 2025.  H3 has 2 failures in 9 flights: TF1 (Mar 2023) and F8 (Dec 2025, payload adapter failure, QZS-5 lost).",chemical_rocket,earth_surface,9,6.0,0,Japan,open,expendable,hydrolox,2025,estimate,50000000,75000000,16000,16500,6500.0,7900.0,4000.0,6000.0,3030,4688,6329.0,11538.0,8333.0,18750.0,2026-09-23,1.16.0
H3 (30),MHI / JAXA,operational,4000,2100.0,0.0,,36300000,9075,17286.0,,2026,"Source: JAXA target ¥5B (~$33M at 2024 rates); no boosters, three LE-9s.  The LEO column holds the 4 t SSO figure because no LEO figure is published, and SSO is the harder orbit.  First operational flight Jun 2026.",chemical_rocket,earth_surface,9,6.0,0,Japan,open,expendable,hydrolox,2026,target,33000000,40000000,4000,4000,2100.0,2100.0,0.0,0.0,8250,10000,15714.0,19048.0,,,2026-09-23,1.16.0
LVM3 (GSLV Mk III),ISRO,operational,8940,4100.0,2450.0,110.0,46300000,5179,11293.0,18898.0,2026,"Source: ISRO ₹402 crore (~$42M) cost, and ~$51M NSIL commercial rate; payloads from the ISRO user manual via Wikipedia.  9 for 9 to Dec 2025, including Chandrayaan-3 and two OneWeb batches. The human-rated HLVM3 for Gaganyaan has NOT yet flown crew; earlier versions of this row said it was human-rated.",chemical_rocket,earth_surface,9,6.0,0,India,open,expendable,hypergolic,2017,reported,42000000,51000000,8000,10000,4000.0,4200.0,2000.0,3000.0,4200,6375,10000.0,12750.0,14000.0,25500.0,2026-09-23,1.16.0
PSLV-XL,ISRO,operational,3800,1360.0,0.0,34.0,22300000,5868,16397.0,,2026,"Source: ISRO / NSIL, ₹130-200 crore ($16-24M, 2023) cost and ~$31M commercial.  Escape is 0: Chandrayaan-1 and the Mars Orbiter Mission were both put into elongated EARTH orbits and raised themselves, so the 1,100 kg escape figure this row used to carry was not a PSLV capability.  PSLV failed in May 2025 (C61) and Jan 2026 (C62), both in flight control near stage separation.",chemical_rocket,earth_surface,9,6.0,0,India,open,expendable,solid,2008,reported,16000000,31000000,3800,3800,1300.0,1425.0,0.0,0.0,4211,8158,11228.0,23846.0,,,2026-09-23,1.16.0
GSLV Mk II,ISRO,operational,6000,2370.0,,,47000000,7833,19831.0,,2026,"Source: Wikipedia — $47M.  13 flights, 2 failures.  Solid core with hypergolic strap-ons and an Indian cryogenic upper stage. Flew NISAR.  Mostly Indian government payloads.",chemical_rocket,earth_surface,9,6.0,0,India,open,expendable,solid,2010,reported,47000000,47000000,6000,6000,2250.0,2500.0,,,7833,7833,18800.0,20889.0,,,2026-09-23,1.16.0
SSLV,ISRO / HAL,operational,500,0.0,0.0,,3740000,7480,,,2026,"Source: ISRO, Rs 30-35 crore (~$3.5-4M) per launch.  First flight (Aug 2022) failed to reach a usable orbit.  Production and operations transferred to HAL from 2025.",chemical_rocket,earth_surface,9,6.0,0,India,open,expendable,solid,2022,reported,3500000,4000000,500,500,0.0,0.0,0.0,0.0,7000,8000,,,,,2026-09-23,1.16.0
Nuri (KSLV-II),KARI / Hanwha Aerospace,operational,3300,0.0,0.0,,36700000,11121,,,2026,"Source: Wikipedia — 3.3 t to 200 km, 1.9 t to 700 km SSO; launch cost 'estimated around $30M', the band's low end, with room above it for an unpriced government vehicle.  First flight failed (2021); three successes since, the latest Nov 2025.",chemical_rocket,earth_surface,9,6.0,0,South Korea,government_only,expendable,kerolox,2021,estimate,30000000,45000000,3300,3300,0.0,0.0,0.0,0.0,9091,13636,,,,,2026-09-23,1.16.0
Long March 2C,CASC (China),operational,3850,1250.0,0.0,,29600000,7688,23680.0,,2026,"Source: Wikipedia payloads; price estimated against the $30M Long March 2D.  88 launches, 1 failure, 1 partial (to Aug 2026).",chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,hypergolic,1982,estimate,25000000,35000000,3850,3850,1250.0,1250.0,0.0,0.0,6494,9091,20000.0,28000.0,,,2026-09-23,1.16.0
Long March 2D,CASC (China),operational,3500,0.0,0.0,,30000000,8571,,,2026,Source: Wikipedia — $30M.  ~100 launches.  LEO/SSO only.,chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,hypergolic,1992,reported,30000000,30000000,3500,3500,0.0,0.0,0.0,0.0,8571,8571,,,,,2026-09-23,1.16.0
Long March 3B/E,CASC (China),operational,11500,5500.0,3780.0,,59200000,5148,10764.0,15661.0,2026,"Source: Wikipedia — $50-70M.  China's GTO workhorse, 112+ successes, 96.5% success rate.  Escape is Chang'e-3's ~3.8 t sent to TLI, a flown figure rather than a rating.",chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,hypergolic,2007,reported,50000000,70000000,11500,11500,5500.0,5500.0,3780.0,3780.0,4348,6087,9091.0,12727.0,13228.0,18519.0,2026-09-23,1.16.0
Long March 4C,CASC (China),operational,4200,1500.0,0.0,,38700000,9214,25800.0,,2026,Source: Wikipedia payloads; price estimated against the sister Long March 4B's $50M (2006).  ~59 launches.,chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,hypergolic,2006,estimate,30000000,50000000,4200,4200,1500.0,1500.0,0.0,0.0,7143,11905,20000.0,33333.0,,,2026-09-23,1.16.0
Long March 5,CASC (China),operational,25000,14000.0,8780.0,157.0,133000000,5320,9500.0,15148.0,2026,"Source: Wikipedia / China-in-Space — payload masses authoritative; ~$160M is Wikipedia's estimate and the high end, against the $110M this row used to carry.  The LEO figure is the Long March 5B; the GTO and escape figures are the two-stage 5.  Chang'e-5 and Tianwen-1 heritage (Mars transfer ~6 t).  17 of 18 successful.",chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,hydrolox,2016,estimate,110000000,160000000,25000,25000,14000.0,14000.0,8200.0,9400.0,4400,6400,7857.0,11429.0,11702.0,19512.0,2026-09-23,1.16.0
Long March 6A,CASC (China),operational,8000,,,,45800000,5725,,,2026,"Source: Wikipedia payloads (8 t LEO, 6.5 t 500 km SSO); price estimated.  26 for 26 to Jul 2026, but its upper stage has broken up in orbit after several flights, the Nov 2022 one into 700+ tracked pieces.",chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,kerolox,2022,estimate,35000000,60000000,8000,8000,,,,,4375,7500,,,,,2026-09-23,1.16.0
Long March 7,CASC (China),operational,13500,7000.0,,111.0,59200000,4385,8457.0,,2026,"Source: CASC / Wikipedia payload figures; price estimated. The LEO figure is the two-stage 7, which flies Tianzhou cargo to the Chinese station; the GTO figure is the three-stage 7A (2 failures in 18).  The 4,000 kg escape figure this row used to carry had no source.",chemical_rocket,earth_surface,9,6.0,0,China,government_only,expendable,kerolox,2016,estimate,50000000,70000000,13500,13500,7000.0,7000.0,,,3704,5185,7143.0,10000.0,,,2026-09-23,1.16.0
Long March 8A,CASC (China),operational,10000,3500.0,,,52900000,5290,15114.0,,2026,"Source: Wikipedia payloads; price estimated.  11 flights since Feb 2025, all successful, mostly constellation deployment from Hainan commercial pads.",chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,kerolox,2025,estimate,40000000,70000000,10000,10000,3500.0,3500.0,,,4000,7000,11429.0,20000.0,,,2026-09-23,1.16.0
Long March 12,CASC (China),operational,11000,,,,63200000,5745,,,2026,"Source: Wikipedia payloads; price estimated.  8 for 8, all Guowang deployments.  Reusable 12A and 12B variants first flew Dec 2025 and Jun 2026 and are not yet listed.",chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,kerolox,2024,estimate,50000000,80000000,10000,12000,,,,,4167,8000,,,,,2026-09-23,1.16.0
Long March 10B,CASC (China),operational,16000,,,,52900000,3306,,,2026,"Source: Wikipedia — 'at least 16 t' to 200 km, 11 t to 900 km at 50 deg.  One flight (Jul 2026), successful, with China's first controlled recovery of an orbital first stage.  One flight is a thin record for 'operational'; read the TRL as flown, not proven.  Price estimated.",chemical_rocket,earth_surface,9,6.0,0,China,restricted,first_stage,kerolox,2026,estimate,40000000,70000000,16000,16000,,,,,2500,4375,,,,,2026-09-23,1.16.0
Kuaizhou-1A,ExPace (CASIC),operational,346,0.0,0.0,,6930000,20029,,,2026,"Source: Wikipedia — ~$20,000/kg, i.e. $6-8M across the 300-400 kg payload range.  Road-mobile solid.  2 failures (2020, 2021).",chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,solid,2017,reported,6000000,8000000,300,400,0.0,0.0,0.0,0.0,15000,26667,,,,,2026-09-23,1.16.0
Kuaizhou-11,ExPace (CASIC),operational,1500,0.0,0.0,,12200000,8133,,,2026,"Source: Wikipedia — ~$10,000/kg, i.e. ~$15M full.  Maiden flight failed (Jul 2020).",chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,solid,2020,reported,10000000,15000000,1500,1500,0.0,0.0,0.0,0.0,6667,10000,,,,,2026-09-23,1.16.0
Ceres-1,Galactic Energy,operational,400,0.0,0.0,,4500000,11250,,,2026,"Source: Wikipedia — $4.5M; 400 kg LEO, 300 kg 500 km SSO.  23 launches, 2 failures, to Jan 2026.  A sea-launched 1S variant also flies.",chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,solid,2020,reported,4500000,4500000,400,400,0.0,0.0,0.0,0.0,11250,11250,,,,,2026-09-23,1.16.0
Gravity-1,Orienspace,operational,6500,0.0,0.0,,39000000,6000,,,2026,"Source: Wikipedia — ~$39M; 6.5 t LEO, 4.2 t 500 km SSO.  The largest all-solid launcher flying; sea-launched.  4 for 4 to Sep 2026.",chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,solid,2024,reported,39000000,39000000,6500,6500,0.0,0.0,0.0,0.0,6000,6000,,,,,2026-09-23,1.16.0
Kinetica-1,CAS Space,operational,2000,0.0,0.0,,11000000,5500,,,2026,"Source: Wikipedia payloads (2 t LEO, 1.5 t SSO); price estimated.  16 launches, 1 failure (Dec 2024, third stage).",chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,solid,2022,estimate,8000000,15000000,2000,2000,0.0,0.0,0.0,0.0,4000,7500,,,,,2026-09-23,1.16.0
Kinetica-2,CAS Space,operational,12000,,,,50000000,4167,,,2026,"Source: CAS Space, 30,000 yuan/kg (Apr 2026), i.e. ~¥360M or ~$50M for the full 12 t.  One flight (Mar 2026), carrying a Qingzhou cargo-vessel prototype.  First-stage recovery is planned from 2027; flies expendable today.",chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,kerolox,2026,published,50000000,50000000,12000,12000,,,,,4167,4167,,,,,2026-09-23,1.16.0
Jielong-3,China Rocket (CALT),operational,1600,0.0,0.0,,14100000,8812,,,2026,"Source: Wikipedia — 1.6 t to 500 km SSO, used as the LEO figure because no LEO figure is published.  Sea-launched solid; 12 for 12.  Price estimated.",chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,solid,2022,estimate,10000000,20000000,1600,1600,0.0,0.0,0.0,0.0,6250,12500,,,,,2026-09-23,1.16.0
Zhuque-2E,LandSpace (China),operational,6000,,,,26500000,4417,,,2026,"Source: Wikipedia payloads (6 t LEO, 4 t SSO); price estimated.  Zhuque-2 family: 9 launches, 2 failures, the latest a 2E in Aug 2025 (second-stage voltage fault).  The first methalox rocket to reach orbit (2023).",chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,methalox,2024,estimate,20000000,35000000,6000,6000,,,,,3333,5833,,,,,2026-09-23,1.16.0
Zhuque-3,LandSpace (China),operational,8000,,,190.0,35400000,4425,,,2026,"Source: Wikipedia — ZQ-3 lifts 8 t reusable (downrange landing) or 11.8 t expendable.  Until v1.16.0 this row carried 21 t / 18.3 t, which are the figures for the enlarged ZQ-3E, still in development.  Flights Dec 2025 (orbit, landing failed) and Aug 2026 (orbit, first landing, stage toppled afterwards).  Price estimated; LandSpace has not published one.",chemical_rocket,earth_surface,9,6.0,0,China,restricted,first_stage,methalox,2025,estimate,25000000,50000000,8000,8000,,,,,3125,6250,,,,,2026-09-23,1.16.0
Pallas-1,Galactic Energy,operational,5000,,,,28300000,5660,,,2026,"Source: Wikipedia — 5 t to 400 km, 3 t to 700 km SSO.  One flight, 1 Sep 2026, successful, boilerplate payload, no recovery attempted.  Designed for first-stage reuse but has only flown expendable, so it is listed as flown.  Price estimated.",chemical_rocket,earth_surface,9,6.0,0,China,restricted,expendable,kerolox,2026,estimate,20000000,40000000,5000,5000,,,,,4000,8000,,,,,2026-09-23,1.16.0
Delta IV Heavy,ULA,retired,28790,14220.0,10000.0,310.0,440000000,15283,30942.0,44000.0,2026,"Last flight April 2024 (NROL-70).  Hydrolox, three cores, and the launcher that sent Parker Solar Probe to the highest departure energy ever flown.  Replaced by Vulcan.",chemical_rocket,earth_surface,9,6.0,0,USA,unavailable,expendable,hydrolox,2004,reported,440000000,440000000,28790,28790,14220.0,14220.0,10000.0,10000.0,15283,15283,30942.0,30942.0,44000.0,44000.0,2026-09-23,1.16.0
H-IIA 204,MHI / JAXA,retired,15000,6000.0,3600.0,122.0,90000000,6000,15000.0,25000.0,2026,"H-IIA's last flight was F50, June 2025 (GOSAT-GW): 50 flights and one failure (F6, 2003).  Launched Hayabusa2 — the most relevant flight heritage in this entire table to what this pipeline models.  Succeeded by H3.",chemical_rocket,earth_surface,9,6.0,0,Japan,unavailable,expendable,hydrolox,2006,reported,90000000,90000000,15000,15000,6000.0,6000.0,3600.0,3600.0,6000,6000,15000.0,15000.0,25000.0,25000.0,2026-09-23,1.16.0
Pegasus XL,Northrop Grumman,retired,446,0.0,0.0,,40000000,89686,,,2026,"Air-launched from an L-1011.  $40M (2017).  Final flight Jul 2026, the Swift reboost mission.  46 flights, 3 failures and 2 partial.  The price per kilogram is why nobody asks for it any more.",chemical_rocket,earth_surface,9,6.0,0,USA,unavailable,expendable,solid,1994,reported,40000000,40000000,443,450,0.0,0.0,0.0,0.0,88889,90293,,,,,2026-09-23,1.16.0
