vehicle,vehicle_status,segment,segment_dv_m_per_s,segment_duration_yr,propellant,propellant_isp_s,propellant_cost_usd_per_kg,launch_usd_per_kg_to_leo,propellant_mass_per_kg_payload,in_space_prop_usd_per_kg_payload,total_usd_per_kg_payload_to_segment_end,catalog_date,pipeline_version
Falcon Heavy (expendable),operational,NRHO  →  low lunar orbit,730.0,0.01,Iodine  (Hall / gridded),2000.0,60.0,2414,0.03792096660609423,2.275257996365654,2416.275257996366,2026-09-23,1.16.0
Falcon Heavy (expendable),operational,Low Mars orbit  →  Earth (TEI),2100.0,0.7,MPD  (lithium magnetoplasmadynamic),4000.0,80.0,2414,0.05499402265417652,4.399521812334122,2418.399521812334,2026-09-23,1.16.0
Falcon Heavy (expendable),operational,1-sol Mars orbit  →  Earth (TEI),900.0,0.7,Hydrazine  (monoprop),220.0,75.0,2414,0.5176402062232073,38.82301546674054,2452.8230154667403,2026-09-23,1.16.0
Falcon Heavy (expendable),operational,NEA  →  cislunar NRHO (Oberth capture),944.0,1.6,Electrospray  (ionic liquid),2500.0,2000.0,2414,0.03925538857867572,78.51077715735144,2492.5107771573516,2026-09-23,1.16.0
SLS Block 1,operational,LEO  →  GTO,2440.0,0.001,Mass driver  (regolith reaction mass),306.0,0.1,27895,1.254903200988866,0.1254903200988866,27895.1254903201,2026-09-23,1.16.0
SLS Block 1,operational,LEO  →  average NEA,6500.0,1.5,Aerozine-50 / NTO  (hypergolic),320.0,53.33333333333333,27895,6.935120641745304,369.8731008930829,28264.873100893084,2026-09-23,1.16.0
SLS Block 1,operational,LEO  →  main-belt asteroid,10500.0,3.5,Solar sail  (photonic),inf,0.0,27895,0.0,0.0,27895.0,2026-09-23,1.16.0
SLS Block 1,operational,NEA  →  Earth return (propulsive),5500.0,1.5,Magnetic sail / electric sail,inf,0.0,27895,0.0,0.0,27895.0,2026-09-23,1.16.0
SLS Block 1,operational,LEO  →  TLI (trans-lunar injection),3150.0,0.01,Cold gas  (GN2),70.0,1.0,27895,97.36872895724488,97.36872895724488,27992.368728957244,2026-09-23,1.16.0
SLS Block 1,operational,LEO  →  cislunar NRHO depot,3600.0,0.02,Solar thermal steam  (water),190.0,2.0,27895,5.903951143604084,11.807902287208169,27906.807902287208,2026-09-23,1.16.0
SLS Block 1,operational,LEO  →  GEO depot,4291.0,0.01,hydrolox  (LH2 / LOX),452.0,1.5999999999999999,27895,1.632814956678656,2.6125039306858495,27897.612503930686,2026-09-23,1.16.0
SLS Block 1,operational,TLI  →  low lunar orbit (LOI),900.0,0.01,Water  (electrothermal / resistojet),190.0,2.0,27895,0.6209679475573551,1.2419358951147101,27896.241935895116,2026-09-23,1.16.0
SLS Block 1,operational,LEO  →  trans-Mars injection,3600.0,0.7,"Metal / water  (ALICE, Al + H2O)",210.0,2.5,27895,4.743592792335074,11.858981980837683,27906.858981980837,2026-09-23,1.16.0
SLS Block 1,operational,LEO  →  Mars 1-sol orbit depot,4500.0,0.7,Xenon  (Hall / ion),3000.0,10000.0,27895,0.16527537438270223,1652.7537438270224,29547.753743827023,2026-09-23,1.16.0
SLS Block 1,operational,NEA  →  LEO delivery (propulsive),3626.0,1.5,FEEP  (indium field emission),6000.0,250.0,27895,0.06356327390661964,15.89081847665491,27910.890818476655,2026-09-23,1.16.0
SLS Block 1,operational,NEA  →  LEO delivery (aerobraked),100.0,2.0,Nuclear pulse  (Orion),10000.0,50000.0,27895,0.001020236300320887,51.01181501604435,27946.011815016045,2026-09-23,1.16.0
Atlas V 551,operational,LEO  →  easy NEA (low-Δv class),4500.0,1.0,Green monoprop  (ASCENT / AF-M315E),235.0,500.0,8132,6.0473246843309525,3023.6623421654763,11155.662342165477,2026-09-23,1.16.0
Atlas V 551,operational,LEO  →  hard NEA,8500.0,2.0,"Nuclear thermal  (LH2, NTP)",900.0,10.0,8132,1.6197144211130081,16.19714421113008,8148.19714421113,2026-09-23,1.16.0
Atlas V 551,operational,Asteroid station-keeping,200.0,0.5,Momentum-exchange tether,inf,0.0,8132,0.0,0.0,8132.0,2026-09-23,1.16.0
Atlas V 551,operational,Main belt  →  Earth return,7500.0,4.0,Solid  (APCP),285.0,15.0,8132,13.635699543655154,204.5354931548273,8336.535493154828,2026-09-23,1.16.0
Atlas V 551,operational,TLI  →  NRHO insertion,450.0,0.01,"VASIMR  (argon, variable Isp)",4000.0,10.0,8132,0.01153786092125575,0.11537860921255749,8132.115378609213,2026-09-23,1.16.0
Atlas V 551,operational,GTO  →  GEO (circularise + plane change),1836.0,0.01,methalox  (LCH4 / LOX),380.0,0.24347826086956526,8132,0.6367031410950339,0.15502337348400827,8132.155023373484,2026-09-23,1.16.0
Atlas V 551,operational,GEO  →  Earth (deorbit to entry),1488.0,0.01,Water  (gridded ion / ECR),900.0,2.0,8132,0.1836383954252423,0.3672767908504846,8132.36727679085,2026-09-23,1.16.0
Atlas V 551,operational,NRHO  →  low lunar orbit,730.0,0.01,Li / F2 / H2  (tripropellant),542.0,37.5609756097561,8132,0.1472202605342099,5.529736615187396,8137.529736615187,2026-09-23,1.16.0
Atlas V 551,operational,Mars arrival  →  1-sol orbit (MOI),900.0,0.01,Argon  (Hall / ion),1500.0,10.0,8132,0.06309341354847708,0.6309341354847708,8132.6309341354845,2026-09-23,1.16.0
Atlas V 551,operational,1-sol Mars orbit  →  Earth (TEI),900.0,0.7,PPT  (PTFE pulsed plasma),1000.0,25.0,8132,0.09611757492989637,2.402939373247409,8134.402939373247,2026-09-23,1.16.0
Atlas V 551,operational,NEA  →  cislunar NRHO (Oberth capture),944.0,1.6,Direct fusion drive,10000.0,1000000.0,8132,0.009672601175138906,9672.601175138907,17804.60117513891,2026-09-23,1.16.0
Vulcan Centaur VC2,operational,LEO  →  Earth escape (C3=0),3200.0,0.003,HTP  (98% peroxide monoprop),165.0,5.0,6748,6.225608438190542,31.12804219095271,6779.128042190952,2026-09-23,1.16.0
Vulcan Centaur VC2,operational,LEO  →  average NEA,6500.0,1.5,"Nuclear electric  (NEP, xenon)",5000.0,10000.0,6748,0.14175106708479768,1417.5106708479768,8165.510670847977,2026-09-23,1.16.0
Vulcan Centaur VC2,operational,LEO  →  main-belt asteroid,10500.0,3.5,Beamed laser-thermal  (H2),900.0,10.0,6748,2.2859930847051873,22.85993084705187,6770.859930847052,2026-09-23,1.16.0
Vulcan Centaur VC2,operational,NEA  →  Earth return (aerocap),1500.0,1.5,Krypton  (Hall),2000.0,300.0,6748,0.07947921442828254,23.843764328484763,6771.843764328485,2026-09-23,1.16.0
Vulcan Centaur VC2,operational,LEO  →  TLI (trans-lunar injection),3150.0,0.01,"Argon  (Hall / ion, cryogenic)",1500.0,10.0,6748,0.23879657547648647,2.3879657547648647,6750.387965754765,2026-09-23,1.16.0
Vulcan Centaur VC2,operational,LEO  →  GTO (perigee burn),2455.0,0.001,MMH / NTO  (hypergolic),336.0,59.528301886792455,6748,1.1065688928753743,65.87216711361899,6813.872167113619,2026-09-23,1.16.0
Vulcan Centaur VC2,operational,LEO  →  GEO depot,4291.0,0.01,Hydrazine arcjet,600.0,75.0,6748,1.0735602241831108,80.5170168137333,6828.517016813733,2026-09-23,1.16.0
Vulcan Centaur VC2,operational,TLI  →  low lunar orbit (LOI),900.0,0.01,CO / LOX  (carbonaceous ISRU),260.0,0.7095541401273886,6748,0.4233008113001637,0.30035484317731365,6748.300354843177,2026-09-23,1.16.0
Vulcan Centaur VC2,operational,Low Mars orbit  →  Earth (TEI),2100.0,0.7,UDMH / NTO  (hypergolic),318.0,47.5,6748,0.9608881319103131,45.64218626573987,6793.64218626574,2026-09-23,1.16.0
Vulcan Centaur VC2,operational,LEO  →  Mars 1-sol orbit depot,4500.0,0.7,Mercury ion  (RETIRED),3000.0,60.0,6748,0.16527537438270223,9.916522462962135,6757.916522462962,2026-09-23,1.16.0
Vulcan Centaur VC2,operational,NEA  →  LEO delivery (propulsive),3626.0,1.5,Antimatter-catalysed,100000.0,6.25e+16,6748,0.0037043351408598824,231520946303742.66,231520946310490.66,2026-09-23,1.16.0
Vulcan Centaur VC4,operational,LEO  →  GTO,2440.0,0.001,HTP / RP-1  (peroxide bipropellant),320.0,4.6875,5607,1.1760985389137675,5.512961901158285,5612.512961901159,2026-09-23,1.16.0
Vulcan Centaur VC4,operational,LEO  →  easy NEA (low-Δv class),4500.0,1.0,Solar thermal  (LH2),800.0,10.0,5607,0.7746271948548664,7.746271948548664,5614.746271948548,2026-09-23,1.16.0
Vulcan Centaur VC4,operational,LEO  →  main-belt asteroid,10500.0,3.5,kerolox  (RP-1 / LOX),340.0,0.896969696969697,5607,22.315621787682602,20.01643651258803,5627.016436512588,2026-09-23,1.16.0
Vulcan Centaur VC4,operational,NEA  →  Earth return (propulsive),5500.0,1.5,Iodine  (Hall / gridded),2000.0,60.0,5607,0.3236882361071216,19.421294166427295,5626.421294166427,2026-09-23,1.16.0
Vulcan Centaur VC4,operational,Main belt  →  Earth return,7500.0,4.0,MPD  (lithium magnetoplasmadynamic),4000.0,80.0,5607,0.21069768175604353,16.855814540483482,5623.855814540483,2026-09-23,1.16.0
Vulcan Centaur VC4,operational,LEO  →  cislunar NRHO depot,3600.0,0.02,Hydrazine  (monoprop),220.0,75.0,5607,4.304876704010455,322.86575280078415,5929.865752800784,2026-09-23,1.16.0
Vulcan Centaur VC4,operational,GTO  →  GEO (circularise + plane change),1836.0,0.01,Electrospray  (ionic liquid),2500.0,2000.0,5607,0.07776339008796973,155.52678017593945,5762.526780175939,2026-09-23,1.16.0
Vulcan Centaur VC4,operational,GEO  →  Earth (deorbit to entry),1488.0,0.01,Mass driver  (regolith reaction mass),306.0,0.1,5607,0.6419129608306537,0.06419129608306538,5607.064191296083,2026-09-23,1.16.0
Vulcan Centaur VC4,operational,LEO  →  trans-Mars injection,3600.0,0.7,Aerozine-50 / NTO  (hypergolic),320.0,53.33333333333333,5607,2.149301680718452,114.62942297165077,5721.6294229716505,2026-09-23,1.16.0
Vulcan Centaur VC4,operational,Mars arrival  →  1-sol orbit (MOI),900.0,0.01,Solar sail  (photonic),inf,0.0,5607,0.0,0.0,5607.0,2026-09-23,1.16.0
Vulcan Centaur VC4,operational,1-sol Mars orbit  →  Earth (TEI),900.0,0.7,Magnetic sail / electric sail,inf,0.0,5607,0.0,0.0,5607.0,2026-09-23,1.16.0
Vulcan Centaur VC4,operational,NEA  →  LEO delivery (aerobraked),100.0,2.0,Cold gas  (GN2),70.0,1.0,5607,0.15681870825492572,0.15681870825492572,5607.156818708255,2026-09-23,1.16.0
Vulcan Centaur VC6,operational,LEO  →  Earth escape (C3=0),3200.0,0.003,Solar thermal steam  (water),190.0,2.0,4848,4.57012101409357,9.14024202818714,4857.1402420281875,2026-09-23,1.16.0
Vulcan Centaur VC6,operational,LEO  →  hard NEA,8500.0,2.0,hydrolox  (LH2 / LOX),452.0,1.5999999999999999,4848,5.804661708259534,9.287458733215253,4857.287458733215,2026-09-23,1.16.0
Vulcan Centaur VC6,operational,Asteroid station-keeping,200.0,0.5,Water  (electrothermal / resistojet),190.0,2.0,4848,0.11331110074959683,0.22662220149919365,4848.2266222015,2026-09-23,1.16.0
Vulcan Centaur VC6,operational,NEA  →  Earth return (aerocap),1500.0,1.5,"Metal / water  (ALICE, Al + H2O)",210.0,2.5,4848,1.0716983370179847,2.6792458425449617,4850.679245842545,2026-09-23,1.16.0
Vulcan Centaur VC6,operational,TLI  →  NRHO insertion,450.0,0.01,Xenon  (Hall / ion),3000.0,10000.0,4848,0.015413321793718682,154.13321793718683,5002.133217937187,2026-09-23,1.16.0
Vulcan Centaur VC6,operational,LEO  →  GTO (perigee burn),2455.0,0.001,FEEP  (indium field emission),6000.0,250.0,4848,0.042606041914893256,10.651510478723313,4858.651510478723,2026-09-23,1.16.0
Vulcan Centaur VC6,operational,LEO  →  GEO depot,4291.0,0.01,Nuclear pulse  (Orion),10000.0,50000.0,4848,0.04472743401250123,2236.3717006250617,7084.371700625062,2026-09-23,1.16.0
Vulcan Centaur VC6,operational,NRHO  →  low lunar orbit,730.0,0.01,Green monoprop  (ASCENT / AF-M315E),235.0,500.0,4848,0.37267708356440754,186.33854178220378,5034.338541782204,2026-09-23,1.16.0
Vulcan Centaur VC6,operational,Low Mars orbit  →  Earth (TEI),2100.0,0.7,"Nuclear thermal  (LH2, NTP)",900.0,10.0,4848,0.26862518552543113,2.6862518552543113,4850.686251855254,2026-09-23,1.16.0
Vulcan Centaur VC6,operational,LEO  →  Mars 1-sol orbit depot,4500.0,0.7,Momentum-exchange tether,inf,0.0,4848,0.0,0.0,4848.0,2026-09-23,1.16.0
Vulcan Centaur VC6,operational,NEA  →  cislunar NRHO (Oberth capture),944.0,1.6,Solid  (APCP),285.0,15.0,4848,0.40180211429055324,6.027031714358299,4854.027031714359,2026-09-23,1.16.0
New Glenn,operational,LEO  →  GTO,2440.0,0.001,"VASIMR  (argon, variable Isp)",4000.0,10.0,1922,0.06417802003961137,0.6417802003961137,1922.6417802003962,2026-09-23,1.16.0
New Glenn,operational,LEO  →  average NEA,6500.0,1.5,methalox  (LCH4 / LOX),380.0,0.24347826086956526,1922,4.721616766480634,1.149611038795285,1923.1496110387952,2026-09-23,1.16.0
New Glenn,operational,LEO  →  main-belt asteroid,10500.0,3.5,Water  (gridded ion / ECR),900.0,2.0,1922,2.2859930847051873,4.5719861694103745,1926.5719861694104,2026-09-23,1.16.0
New Glenn,operational,NEA  →  Earth return (propulsive),5500.0,1.5,Li / F2 / H2  (tripropellant),542.0,37.5609756097561,1922,1.8144514471166673,68.1525665502358,1990.1525665502359,2026-09-23,1.16.0
New Glenn,operational,LEO  →  TLI (trans-lunar injection),3150.0,0.01,Argon  (Hall / ion),1500.0,10.0,1922,0.23879657547648647,2.3879657547648647,1924.3879657547648,2026-09-23,1.16.0
New Glenn,operational,LEO  →  cislunar NRHO depot,3600.0,0.02,PPT  (PTFE pulsed plasma),1000.0,25.0,1922,0.4435391432723721,11.088478581809301,1933.0884785818093,2026-09-23,1.16.0
New Glenn,operational,GTO  →  GEO (circularise + plane change),1836.0,0.01,Direct fusion drive,10000.0,1000000.0,1922,0.018898344973720338,18898.344973720337,20820.344973720337,2026-09-23,1.16.0
New Glenn,operational,TLI  →  low lunar orbit (LOI),900.0,0.01,HTP  (98% peroxide monoprop),165.0,5.0,1922,0.7440479919750906,3.720239959875453,1925.7202399598755,2026-09-23,1.16.0
New Glenn,operational,LEO  →  trans-Mars injection,3600.0,0.7,"Nuclear electric  (NEP, xenon)",5000.0,10000.0,1922,0.07618197300591745,761.8197300591745,2683.8197300591746,2026-09-23,1.16.0
New Glenn,operational,Mars arrival  →  1-sol orbit (MOI),900.0,0.01,Beamed laser-thermal  (H2),900.0,10.0,1922,0.10735204606807192,1.0735204606807192,1923.0735204606808,2026-09-23,1.16.0
New Glenn,operational,NEA  →  LEO delivery (propulsive),3626.0,1.5,Krypton  (Hall),2000.0,300.0,1922,0.20306750513560945,60.920251540682834,1982.9202515406828,2026-09-23,1.16.0
New Glenn,operational,NEA  →  LEO delivery (aerobraked),100.0,2.0,"Argon  (Hall / ion, cryogenic)",1500.0,10.0,1922,0.006821267674013143,0.06821267674013143,1922.0682126767401,2026-09-23,1.16.0
Electron,operational,LEO  →  easy NEA (low-Δv class),4500.0,1.0,MMH / NTO  (hypergolic),336.0,59.528301886792455,24194,2.9184311492530077,173.72925048855168,24367.72925048855,2026-09-23,1.16.0
Electron,operational,LEO  →  hard NEA,8500.0,2.0,Hydrazine arcjet,600.0,75.0,24194,3.24014712691267,243.01103451845026,24437.01103451845,2026-09-23,1.16.0
Electron,operational,Asteroid station-keeping,200.0,0.5,CO / LOX  (carbonaceous ISRU),260.0,0.7095541401273886,24194,0.08159814222818107,0.057898299644709376,24194.057898299645,2026-09-23,1.16.0
Electron,operational,Main belt  →  Earth return,7500.0,4.0,UDMH / NTO  (hypergolic),318.0,47.5,24194,10.078331333901902,478.72073836034036,24672.72073836034,2026-09-23,1.16.0
Electron,operational,TLI  →  NRHO insertion,450.0,0.01,Mercury ion  (RETIRED),3000.0,60.0,24194,0.015413321793718682,0.9247993076231209,24194.924799307624,2026-09-23,1.16.0
Electron,operational,LEO  →  GTO (perigee burn),2455.0,0.001,Antimatter-catalysed,100000.0,6.25e+16,24194,0.0025065394333629865,156658714585186.66,156658714609380.66,2026-09-23,1.16.0
Electron,operational,GEO  →  Earth (deorbit to entry),1488.0,0.01,HTP / RP-1  (peroxide bipropellant),320.0,4.6875,24194,0.6066769487883765,2.843798197445515,24196.843798197446,2026-09-23,1.16.0
Electron,operational,NRHO  →  low lunar orbit,730.0,0.01,Solar thermal  (LH2),800.0,10.0,24194,0.09751562682883441,0.9751562682883441,24194.975156268287,2026-09-23,1.16.0
Electron,operational,Mars arrival  →  1-sol orbit (MOI),900.0,0.01,kerolox  (RP-1 / LOX),340.0,0.896969696969697,24194,0.3098660497764605,0.27794045676918877,24194.27794045677,2026-09-23,1.16.0
Electron,operational,1-sol Mars orbit  →  Earth (TEI),900.0,0.7,Iodine  (Hall / gridded),2000.0,60.0,24194,0.04695633859769743,2.817380315861846,24196.81738031586,2026-09-23,1.16.0
Electron,operational,NEA  →  cislunar NRHO (Oberth capture),944.0,1.6,MPD  (lithium magnetoplasmadynamic),4000.0,80.0,24194,0.024357208922508367,1.9485767138006693,24195.9485767138,2026-09-23,1.16.0
Alpha,operational,LEO  →  Earth escape (C3=0),3200.0,0.003,Hydrazine  (monoprop),220.0,75.0,15728,3.407129552956179,255.5347164717134,15983.534716471713,2026-09-23,1.16.0
Alpha,operational,LEO  →  average NEA,6500.0,1.5,Electrospray  (ionic liquid),2500.0,2000.0,15728,0.303595499189274,607.190998378548,16335.190998378548,2026-09-23,1.16.0
Alpha,operational,LEO  →  main-belt asteroid,10500.0,3.5,Mass driver  (regolith reaction mass),306.0,0.1,15728,32.08322052278329,3.2083220522783296,15731.208322052278,2026-09-23,1.16.0
Alpha,operational,NEA  →  Earth return (aerocap),1500.0,1.5,Aerozine-50 / NTO  (hypergolic),320.0,53.33333333333333,15728,0.6128325400818613,32.684402137699266,15760.6844021377,2026-09-23,1.16.0
Alpha,operational,LEO  →  TLI (trans-lunar injection),3150.0,0.01,Solar sail  (photonic),inf,0.0,15728,0.0,0.0,15728.0,2026-09-23,1.16.0
Alpha,operational,LEO  →  cislunar NRHO depot,3600.0,0.02,Magnetic sail / electric sail,inf,0.0,15728,0.0,0.0,15728.0,2026-09-23,1.16.0
Alpha,operational,LEO  →  GEO depot,4291.0,0.01,Cold gas  (GN2),70.0,1.0,15728,517.4587072077788,517.4587072077788,16245.45870720778,2026-09-23,1.16.0
