name,type,status,trl,first_flight,restartable,propellantless,storage_class,tank_kg_per_L,isru_feed_kg_per_kg,isru_feed_material,dv_penalty_factor,boiloff_pct_per_day,isp_vac_s,exhaust_vel_m_per_s,density_kg_per_L,ref_cost_usd_per_kg,ref_cost_usd_per_L,yfinance_proxy,reference_year,notes,thruster_kg_per_n,thruster_efficiency,thrust_scaling,live_cost_usd_per_kg,live_cost_usd_per_L,live_price_date,live_price_source,cost_usd_per_kg,cost_usd_per_L,price_basis,catalog_date,pipeline_version
HTP  (98% peroxide monoprop),monopropellant,operational,9,1949.0,True,False,storable_liquid,0.025,,,1.0,0.002,165.0,1618.0972499999998,1.431,5.0,7.155,,2026,"Silver-screen decomposition.  Centaur RCS, Soyuz turbopump gas generator, Black Arrow.  Cheapest propellant in this table at ~$5/kg and the lowest Isp of any liquid in it — the reason it is here is the boil-off column: 0.002%/day is self-decomposition, not evaporation, so unlike a cryogen the loss does not accelerate with mission length.",,,,,,,,5.0,7.155,reference,2026-09-07,1.14.0
HTP / RP-1  (peroxide bipropellant),bipropellant,operational,9,1969.0,True,False,storable_liquid,0.025,,,1.0,0.002,320.0,3138.1279999999997,1.3058555133079848,4.6875,6.121197718631179,heating_oil,2026,"Black Arrow flew HTP/kerosene to orbit in 1971 — the only British orbital launch.  Isp 320 s vac at 7:1 O/F, ρ 1.30 kg/L, fully storable, and the cheapest bipropellant here.  The combination that keeps getting rediscovered and keeps losing to kerolox on Isp.",,,,,,,,4.6875,6.121197718631179,reference,2026-09-07,1.14.0
Cold gas  (GN2),cold_gas,operational,9,1961.0,True,False,supercritical_gas,0.11479591836734694,,,1.0,0.0,70.0,686.4654999999999,0.25,1.0,0.25,,2026,"The simplest thruster that exists and the worst.  Isp 70 s, and at 30 MPa the COPV masses 46% of the nitrogen it holds — the clearest demonstration in this table of why tankage belongs in the rocket equation.  Present as the floor of the Isp range, not as a candidate.",,,,,,,,1.0,0.25,reference,2026-09-07,1.14.0
Solid  (APCP),solid,operational,9,1958.0,False,False,solid_motor,0.125,,,1.0,0.0,285.0,2794.89525,1.8,15.0,27.0,,2026,"Star 48B / Orion 38 class kick motor.  Vac Isp 286 s, ρ 1.80 kg/L, storable for decades, and the case masses only 6.9% of the grain (Star 48B burnout 129 kg on 2,010 kg loaded = 6.4%, which is what the solid_motor multiplier is anchored to).
restartable=False, and that is disqualifying HERE: an asteroid return fires its second burn years after the first, and a solid cannot be relit or throttled.  It stays in the table because 'we did not consider solids' and 'solids cannot fly this profile' are different statements and only one of them is true.",,,,,,,,15.0,27.0,reference,2026-09-07,1.14.0
Krypton  (Hall),electric,operational,9,2019.0,True,False,supercritical_gas,0.06887755102040816,,,1.5,0.0,2000.0,19613.3,0.55,300.0,165.0,,2026,"The most-flown electric propellant by unit count — every Starlink v1.0 Hall thruster ran krypton, because Xe supply cannot feed a constellation.  ~30× cheaper than xenon at $300/kg, ~2/3 the Isp, and a materially worse tank: 0.55 kg/L supercritical against xenon's 2.0 means the COPV masses 12.5% of the propellant against xenon's 1.9%.  Whether it beats xenon is exactly the kind of trade this table now lets the search resolve rather than assume.",35.0,0.45,continuous,,,,,300.0,165.0,reference,2026-09-07,1.14.0
Iodine  (Hall / gridded),electric,operational,8,2020.0,True,False,sublimating_solid,0.011250000000000001,,,1.5,0.0,2000.0,19613.3,4.93,60.0,295.79999999999995,,2026,"First iodine electric propulsion in orbit: ThrustMe's NPT30-I2 on Beihangkongshi-1, Nov 2020 (Rafalskyi et al., Nature 599, 2021).  Stored as a SOLID at ambient pressure, ρ 4.93 kg/L, so the reservoir masses 0.23% of the propellant against xenon's 1.9% — by a wide margin the best storage density ever flown outside mercury.  Cost $60/kg.  The catch is condensable exhaust plating out on cold surfaces, which is a contamination problem this model does not price.",60.0,0.45,continuous,,,,,60.0,295.79999999999995,reference,2026-09-07,1.14.0
Water  (electrothermal / resistojet),electric,operational,8,2022.0,True,False,benign_liquid,0.022500000000000003,1.0,water,1.5,0.0,190.0,1863.2634999999998,1.0,2.0,2.0,,2026,"Steam.  Resistively or microwave heated, Isp 150-220 s.  Flown by Tethers Unlimited's HYDROS-C (ISS deploy 2022), Momentus' microwave electrothermal Vigoride, and Pale Blue's water resistojet.
The point is not the Isp, which is terrible.  It is isru_feed_kg_per_kg = 1.0: an asteroid supplies this propellant DIRECTLY, with no electrolysis, no cryocooler and no 1.286 stoichiometric markup.  Hydrolox needs 1.29 kg of water per kg of propellant and a liquefaction plant; steam needs 1.00 and a hotplate.  Whether 190 s bought that cheaply beats 452 s bought expensively is a real question and the search now gets to answer it per asteroid.",10.0,0.75,continuous,,,,,2.0,2.0,reference,2026-09-07,1.14.0
Water  (gridded ion / ECR),electric,operational,7,2023.0,True,False,benign_liquid,0.022500000000000003,1.0,water,1.5,0.0,900.0,8825.984999999999,1.0,2.0,2.0,,2026,"Ionise the steam instead of just heating it: Isp 800-1,000 s on the same tank of water.  Pale Blue flew a water ion thruster in 2023; ESA and JAXA both have ECR water thrusters in qualification.  Same ISRU story as the resistojet at ~5× the Isp, for a much larger power plant — which this pipeline sizes and charges, so the trade is honest.",80.0,0.35,continuous,,,,,2.0,2.0,reference,2026-09-07,1.14.0
Hydrazine arcjet,electric,operational,9,1993.0,True,False,storable_liquid,0.025,,,1.5,0.0,600.0,5883.99,1.01,75.0,75.75,,2026,"Aerojet MR-510, 600 s vac on 2 kW — flown on Lockheed A2100 comsats since 1993 and largely displaced by Hall thrusters since.  Sits in the gap between chemical and true electric: 3× hydrazine's Isp at ~100 mN, so it needs far less power per newton than a Hall thruster and far less patience than an ion engine.  Ammonia arcjets reach ~500 s on a cheaper propellant.",6.0,0.35,continuous,,,,,75.0,75.75,reference,2026-09-07,1.14.0
Electrospray  (ionic liquid),electric,operational,8,2016.0,True,False,storable_liquid,0.025,,,1.5,0.0,2500.0,24516.625,1.24,2000.0,2480.0,,2026,"Ionic liquid (EMI-BF4) extracted electrostatically from an emitter array — no ionisation chamber, no neutraliser discharge, no pressurant.  Flew on LISA Pathfinder's ST7-DRS at micronewton precision (2016); Accion's TILE flies commercially.  Isp 2,500 s and a room-temperature liquid tank, but thrust per emitter is microscopic — scaling to a cargo stage means millions of emitters, which is a manufacturing problem, not a physics one.",10000.0,0.65,replicated,,,,,2000.0,2480.0,reference,2026-09-07,1.14.0
FEEP  (indium field emission),electric,operational,8,2016.0,True,False,sublimating_solid,0.011250000000000001,,,1.5,0.0,6000.0,58839.899999999994,7.31,250.0,1827.5,,2026,"Liquid indium wicked to a needle tip and field-evaporated. ENPULSION's IFM Nano flies on hundreds of smallsats.  Isp 4,000-8,000 s — the highest of anything operational — at ρ 7.31 kg/L in an unpressurised reservoir.  Thrust is tens of micronewtons per emitter.  This is the high-Isp end of the flown record, and the pipeline's power model is what stops it running away with the answer.",2500.0,0.6,replicated,,,,,250.0,1827.5,reference,2026-09-07,1.14.0
PPT  (PTFE pulsed plasma),electric,operational,9,1968.0,True,False,sublimating_solid,0.011250000000000001,,,1.5,0.0,1000.0,9806.65,2.2,25.0,55.00000000000001,,2026,"A Teflon bar ablated by a capacitor discharge — the oldest electric propulsion in service (LES-6, 1968; EO-1, 2000). Isp ~1,000 s, solid propellant, no tank, no valves, no feed system at all.  Efficiency is ~10%, an order below a Hall thruster, which is why it never scaled past attitude control.",5000.0,0.08,replicated,,,,,25.0,55.00000000000001,reference,2026-09-07,1.14.0
Mercury ion  (RETIRED),electric,retired,9,1970.0,True,False,storable_liquid,0.025,,,1.5,0.0,3000.0,29419.949999999997,13.53,60.0,811.8,,2026,"SERT-II (1970) and ATS-6 flew mercury ion engines.  ρ 13.53 kg/L is still the best propellant storage density ever flown and $60/kg is a fiftieth of xenon, so on this table's columns alone it looks like the obvious winner.
It is banned.  The 2013 Minamata Convention on Mercury prohibits it, and a 2019 attempt to fly a mercury-propelled constellation was abandoned after the ionised-mercury plume was shown to return to Earth's atmosphere.  status='retired' keeps it out of the search permanently — it is here so that the next person to notice the density has the answer already.",54.0,0.65,continuous,,,,,60.0,811.8,reference,2026-09-07,1.14.0
Solar sail  (photonic),propellantless,operational,8,2010.0,True,True,propellantless,0.0,,,1.0,0.0,inf,inf,,0.0,0.0,,2026,"IKAROS (2010) was the first sail to be propelled by sunlight; LightSail 2 (2019) raised its own apogee; NEA Scout (2022) deployed but was lost; ACS3 (2024) demonstrated composite booms.
Isp is infinite, which is exactly the problem: the rocket equation says a sail moves any payload for zero propellant, so an unguarded model reports an unbounded result.  Real sails run ~0.1 mm/s² of characteristic acceleration at 1 AU — fine for a 6 kg cubesat, meaningless for a hold of ore, and falling as 1/r² besides.  propellantless=True makes Module 4 exclude it.  Pricing sails properly needs a thrust-limited trajectory solver, which is the same gap that keeps the EP stage sized to a fixed thrust duration.",,,,,,,,0.0,0.0,reference,2026-09-07,1.14.0
"Nuclear thermal  (LH2, NTP)",nuclear_thermal,development,5,,True,False,deep_cryogen,0.037500000000000006,,,1.0,0.05,900.0,8825.984999999999,0.0708,10.0,0.708,,2026,"Heat hydrogen in a fission core: twice the Isp of the best chemistry at full chemical thrust.  NERVA's NRX/XE ran on a test stand at 825 s in 1968; DRACO targeted 900 s before being descoped in 2025.  TRL 5 — the reactor physics is 60 years proven and nothing has flown.
This row is the clearest case for the v1.9.0 tank model.  Bare LH2 at 0.0708 kg/L pays 53% of its own mass in tankage and 0.05%/day in boil-off with no oxidiser to average against, so a large part of the 900 s is handed straight back on a multi-year mission.  Before v1.9.0 the model would have taken the Isp and charged nothing for either.  The reactor's own mass and cost are ALSO not modelled — so this row is still optimistic, and gated out of the default search accordingly.",,,,,,,,10.0,0.708,reference,2026-09-07,1.14.0
"Nuclear electric  (NEP, xenon)",nuclear_electric,development,4,,True,False,supercritical_gas,0.038265306122448974,,,1.5,0.0,5000.0,49033.25,2.0,10000.0,20000.0,,2026,"A fission reactor driving high-power ion or Hall thrusters. The one architecture that breaks this pipeline's binding constraint on electric propulsion — power at distance, which PV loses as 1/r².  Kilopower/KRUSTY ran a 1 kWe reactor in 2018; MW-class flight units are TRL 3-4.
⚠️  Module 4 sizes electric power off the PV row and its 1/r² term.  A nuclear source does not scale that way, so selecting this propellant WITHOUT teaching the power model about it would still charge a solar array's mass.  Gated out until that is fixed; the row exists so the gap is visible.",54.0,0.7,continuous,,,,,10000.0,20000.0,reference,2026-09-07,1.14.0
Solar thermal  (LH2),solar_thermal,development,4,,True,False,deep_cryogen,0.037500000000000006,,,1.0,0.05,800.0,7845.32,0.0708,10.0,0.708,,2026,"Concentrate sunlight onto a hydrogen heat exchanger: NTP's Isp without the reactor.  Ground-tested by the USAF Solar Orbit Transfer Vehicle programme in the 1990s (Isp 700-900 s demonstrated); never flown.  Suffers the same 1/r² starvation as PV, so it is a near-Sun technology — which is the opposite of where the main belt is.",,,,,,,,10.0,0.708,reference,2026-09-07,1.14.0
Solar thermal steam  (water),solar_thermal,development,4,,True,False,benign_liquid,0.022500000000000003,1.0,water,1.0,0.0,190.0,1863.2634999999998,1.0,2.0,2.0,,2026,"Honeybee Robotics' WINE ('World Is Not Enough') mined simulant, boiled the water and thrusted on the steam inside a vacuum chamber in 2018 — the only end-to-end asteroid-ISRU propulsion demonstration there has ever been.  Isp ~190 s, no electrical conversion loss, and 1.0 kg of asteroid water per kg of propellant.  This is the propellant the concept of a self-refuelling mining craft is actually built on, and it was absent from this table until v1.9.0.",,,,,,,,2.0,2.0,reference,2026-09-07,1.14.0
"VASIMR  (argon, variable Isp)",electric,development,5,,True,False,mild_cryogen,0.028749999999999998,,,1.5,0.024,4000.0,39226.6,1.395,10.0,13.95,,2026,"Ad Astra's VX-200SS ran 100 hours at 80 kW in 2021.  RF-heated plasma in a magnetic nozzle, and the headline feature is throttleable Isp — trade thrust against efficiency in flight, which is precisely the freedom a fixed-Isp table cannot express.  Modelled here at a single 4,000 s point, which understates it; capturing the variable-Isp advantage needs the same trajectory optimiser the sails do.
Cryogenic argon feed, because a 100 kW-class stage moves propellant by the tonne and no COPV is a sensible way to carry tonnes of a gas this light.  v1.10.0: it therefore pays cryogenic boil-off, which it was exempt from before.",53.0,0.5,continuous,,,,,10.0,13.95,reference,2026-09-07,1.14.0
"Argon  (Hall / ion, cryogenic)",electric,development,4,,True,False,mild_cryogen,0.028749999999999998,,,1.5,0.024,1500.0,14709.974999999999,1.395,10.0,13.95,,2026,"v1.10.0.  The other half of the argon split — same 1,500 s Hall thruster as the operational row, fed from a liquid tank at 87.3 K instead of an 18 MPa bottle.  It is the architecture a multi-tonne stage would actually want: 1.395 kg/L against 0.30 buys a 2.1% tank against 22.9%, which is the single biggest storage swing in this table.
DEVELOPMENT, not operational, and the distinction is the point. Liquid argon is routine on the ground and has never flown on a spacecraft; no EP system has ever carried a cryogen.  Tagging it operational would let the default search fly an article nobody has built, which is exactly what the pre-v1.10.0 argon row did by accident.  The honest version of that row is these two, and the tank saving now costs what it really costs: boil-off over a multi-year hold, on the same terms as every other cryogen here.",40.0,0.4,continuous,,,,,10.0,13.95,reference,2026-09-07,1.14.0
MPD  (lithium magnetoplasmadynamic),electric,development,4,,True,False,storable_liquid,0.025,,,1.5,0.0,4000.0,39226.6,0.534,80.0,42.72,,2026,"Lithium Lorentz Force Accelerator — the highest thrust density of any electric thruster, and the only class that could plausibly move hundreds of tonnes.  Ground-tested at Princeton and by RIAME (Moscow) at 100+ kW; needs megawatts to be interesting, which is why it is bracketed with NEP rather than with PV.",40.0,0.4,continuous,,,,,80.0,42.72,reference,2026-09-07,1.14.0
"Metal / water  (ALICE, Al + H2O)",bipropellant,development,3,,True,False,solid_motor,0.05020270270270271,0.5,water,1.0,0.0,210.0,2059.3965,1.4594594594594597,2.5,3.648648648648649,,2026,"Nano-aluminium burnt in water — Purdue/NASA ALICE flew a sounding rocket in 2009.  Isp only 210 s, but BOTH components are asteroid-derivable: metallic aluminium from silicate reduction and water from phyllosilicates.  isru_feed is 0.5 because half the mixture is metal, which this pipeline does not yet model refining — so the figure is a placeholder for the water half only and the row is gated out.",,,,,,,,2.5,3.648648648648649,reference,2026-09-07,1.14.0
Li / F2 / H2  (tripropellant),tripropellant,concept,3,,True,False,mild_cryogen,0.03347005291798106,,,1.0,0.04,542.0,5315.204299999999,0.469761243782242,37.5609756097561,17.64469062011348,,2026,"542 s is the highest specific impulse ever MEASURED from a chemical rocket — Rocketdyne, test stand, 1960s.  It is in this table as the ceiling of chemistry, so that '452 s is the best chemical Isp' is not quietly assumed.
It will never fly.  The exhaust is hydrogen fluoride, the oxidiser is liquid fluorine, and the fuel is molten lithium; the ground handling is beyond hazardous and into unpermittable.  status='concept' at TRL 3 despite a real firing, because engineering feasibility is not the binding constraint here.",,,,,,,,37.5609756097561,17.64469062011348,reference,2026-09-07,1.14.0
CO / LOX  (carbonaceous ISRU),bipropellant,concept,3,,True,False,mild_cryogen,0.02875,,,1.0,0.012,260.0,2549.729,0.888517177647998,0.7095541401273886,0.6304510419744394,,2026,"Carbon monoxide burnt in oxygen, both from carbonaceous regolith or a CO2 atmosphere.  Isp ~260 s — poor — but it is the only chemical bipropellant makeable from a C-type asteroid without any hydrogen at all, which matters because hydrogen is the scarce element out there, not carbon or oxygen.  Studied extensively for Mars (Zubrin); never built.
The ISRU columns are deliberately null — see the comment above them.  This is the row where 'obviously ISRU' and 'this model can price it' come apart.",,,,,,,,0.7095541401273886,0.6304510419744394,reference,2026-09-07,1.14.0
Mass driver  (regolith reaction mass),kinetic,concept,3,,True,False,sublimating_solid,0.011250000000000001,1.0,regolith,1.0,0.0,306.0,3000.0,2.0,0.1,0.2,,2026,"Electromagnetically accelerate buckets of raw regolith and throw them overboard.  O'Neill and Snow built a working prototype at Princeton in 1977 (40 g); the concept predates every other entry in this table as an asteroid-mining proposal, and it was missing from it.
Isp is a derived equivalence, not a chemistry: a 3 km/s slug velocity is 3,000/9.807 = 306 s.  The reaction mass is the asteroid, so isru_feed_material='regolith' at 1.0 and the $/kg is handling only.  What it costs is POWER, continuously, and its thrust is a stream of discrete impulses — neither of which this pipeline's propulsion model can express, hence concept and gated.",,,,,,,,0.1,0.2,reference,2026-09-07,1.14.0
Nuclear pulse  (Orion),nuclear_pulse,concept,2,,True,False,solid_motor,0.125,,,1.0,0.0,10000.0,98066.5,1.5,50000.0,75000.0,,2026,"Detonate shaped nuclear charges against a pusher plate. Designed in full engineering detail by General Atomics 1958-1965 — Dyson and Taylor's programme produced vehicle layouts, not sketches — and killed by the 1963 Partial Test Ban Treaty.  Isp 10,000 s at MEGANEWTON thrust is the only entry here that is both high-Isp and high-thrust, which is why it keeps being revisited.  TRL 2 and permanently unpermittable; present because 'never designed' would be false.",,,,,,,,50000.0,75000.0,reference,2026-09-07,1.14.0
Direct fusion drive,fusion,concept,2,,True,False,supercritical_gas,0.038265306122448974,,,1.5,0.0,10000.0,98066.5,0.1,1000000.0,100000.0,,2026,"Princeton Plasma Physics Lab's PFRC-2 field-reversed configuration, aneutronic D-He3, studied under NASA NIAC. Isp 10,000+ s at ~5 N/MW.  TRL 2: the confinement scheme is under experimental test and net-positive fusion of any kind has not been demonstrated in a flight-relevant device.",2000.0,0.5,continuous,,,,,1000000.0,100000.0,reference,2026-09-07,1.14.0
Antimatter-catalysed,antimatter,concept,1,,True,False,supercritical_gas,0.038265306122448974,,,1.5,0.0,100000.0,980665.0,0.1,6.25e+16,6250000000000000.0,,2026,"Antiproton-initiated microfission (Penn State AIMStar, NASA NIAC).  The Isp column is the reason it appears in every propulsion survey; the cost column is the reason it appears in no mission plan.  CERN's antiproton production, scaled, prices antihydrogen near $10^15/kg, and world annual production is measured in nanograms.  TRL 1.  It is here to close the table at the physical ceiling.",2000.0,0.5,continuous,,,,,6.25e+16,6250000000000000.0,reference,2026-09-07,1.14.0
Magnetic sail / electric sail,propellantless,concept,3,,True,True,propellantless,0.0,,,1.0,0.0,inf,inf,,0.0,0.0,,2026,"Deflect the solar WIND rather than sunlight — Zubrin's magsail, or Janhunen's electric sail with charged tethers. Thrust per kilogram of hardware beats a photon sail beyond ~1 AU because solar-wind dynamic pressure falls more slowly than the model's PV does.  ESTCube-1 (2013) and Aalto-1 failed to deploy their tethers, so nothing has been demonstrated in flight.  Excluded by propellantless=True for the same reason as the photon sail.",,,,,,,,0.0,0.0,reference,2026-09-07,1.14.0
Momentum-exchange tether,propellantless,concept,4,,True,True,propellantless,0.0,,,1.0,0.0,inf,inf,,0.0,0.0,,2026,"A rotating tether catches a payload and throws it, moving momentum between cargoes instead of expending propellant. YES2 (2007) deployed 31.7 km of tether and reentered a capsule; HASTOL and MXER were studied to PDR.  Genuinely propellantless for a two-way traffic pattern, which is exactly what a mining programme is — but it is INFRASTRUCTURE with its own capital cost and orbit, not a propellant a spacecraft carries, and this pipeline has no way to amortise a facility across missions.  That is the modelling gap, not the physics.",,,,,,,,0.0,0.0,reference,2026-09-07,1.14.0
Beamed laser-thermal  (H2),beamed_energy,concept,3,,True,False,deep_cryogen,0.037500000000000006,,,1.0,0.05,900.0,8825.984999999999,0.0708,10.0,0.708,,2026,"Leave the power plant at home and beam it: NTP's Isp with no reactor aboard.  Kare's laser-thermal work and the 2022 McGill/UCLA laser-thermal Mars study put Isp near 900 s.  Same amortisation problem as the tether — the expensive part is a ground or orbital laser array shared across missions, which this pipeline cannot represent.",,,,,,,,10.0,0.708,reference,2026-09-07,1.14.0
