name,kind,au_min,au_mean,au_max,solar_flux_w_per_m2,solar_array_mass_factor,blackbody_temp_k,cycle_period_hr,eclipse_fraction,dark_period_hr,mass_kg,mean_radius_m,surface_gravity_m_per_s2,escape_velocity_m_per_s,max_earth_range_au,one_way_light_time_min,reference_year,notes,catalog_date,pipeline_version
433 Eros,neo,1.1334,1.4583,1.7832,639.9770108596106,2.1266388899999997,230.45692800648595,5.27,0.5,2.635,6687000000000000.0,8420.0,0.006295248291873776,10.29621198476189,2.7999,23.28605824536,2026,"NEAR Shoemaker orbited it for a year and landed on it in 2001.  Mass 6.687e15 kg, mean radius 8.42 km (Yeomans et al. 2000, Science).  Four orders of magnitude more massive than Bennu, and the derived 10.3 m/s escape velocity is the difference between anchoring and merely parking - the largest S-type in easy reach.",2026-09-07,1.15.0
65803 Didymos,neo,1.0128,1.6443,2.2758,503.38006397986493,2.7037224900000005,217.0314529838032,2.26,0.5,1.13,528000000000.0,390.0,0.00023169167652859957,0.4251111709803774,3.2925,27.382887521999997,2026,"DART hit its moonlet Dimorphos in 2022 and moved it, and Hera arrives in 2026 to measure what that did.  Mass 5.28e11 kg, mean radius 390 m (Daly et al. 2023, Nature).  ⚠️  The 2.26-hour rotation puts its equator within a few percent of the spin barrier, so effective gravity there is near zero and the derived escape velocity is an upper bound.  A factor of 5 in flux between perihelion and aphelion, the widest band in this table.",2026-09-07,1.15.0
Mars 1-sol staging orbit,planet_orbit,1.3814,1.5237,1.666,586.2180548794773,2.32166169,225.45686954770724,24.62,0.05,1.231,,,,,2.6827,22.31133556728,2026,"The 250 x 33,793 km elliptical orbit NASA DRA 5.0 parks a Mars vehicle in, and the destination DELTA_V_REFERENCE prices at 4,500 m/s from LEO.  Most of the period is spent near apoapsis in sunlight, so the eclipse fraction is small and orientation-dependent; 0.05 is representative rather than fixed.",2026-09-07,1.15.0
Mars surface (mid-latitude),planet_surface,1.3814,1.5237,1.666,586.2180548794773,2.32166169,225.45686954770724,24.66,0.5,12.33,6.4171e+23,3389500.0,3.7279772574993784,5027.1222213696265,2.6827,22.31133556728,2026,"The sol is 24.66 h, so the night is a manageable 12 - the one planetary surface in this table where solar power is routine.  ⚠️  What this row does NOT carry is dust: a global storm cut Opportunity's array output by over 99% and ended the mission, and Mars surface flux at the panel runs 40-60% of the orbital figure even on a clear day (Appelbaum & Flood, NASA TM-102299).  Size for the storm, not for the geometry.  Mass 6.4171e23 kg, mean radius 3,389.5 km (NASA Mars Fact Sheet).",2026-09-07,1.15.0
Phobos,moon_surface,1.3814,1.5237,1.666,586.2180548794773,2.32166169,225.45686954770724,7.653,0.5,3.8265,1.0659e+16,11267.0,0.005604096399355159,11.237557931466656,2.6827,22.31133556728,2026,"Tidally locked, 7.65-h orbit and rotation.  Mass 1.0659e16 kg, mean radius 11.267 km (NASA Mars Fact Sheet / Willner et al. 2014).  The derived 11.2 m/s escape velocity and a Mars-orbit position make it the cheapest large mass in the Mars system to work from - the argument behind every Phobos-first mission architecture.",2026-09-07,1.15.0
"Main belt, inner edge",main_belt,2.06,2.2,2.5,281.198347107438,4.840000000000001,187.62982172352028,8.0,0.5,4.0,,,,,3.5167,29.24750206488,2026,The 3:1 Kirkwood gap at 2.5 AU is the outer bound of the inner belt. Array mass per watt is already 4.8x the 1 AU figure here.,2026-09-07,1.15.0
"Main belt, mean",main_belt,2.2,2.7,3.2,186.6941015089163,7.290000000000001,169.36798639298635,8.0,0.5,4.0,,,,,4.2167,35.06922454488,2026,"The 10,500 m/s destination in DELTA_V_REFERENCE, quoted at 2.7 AU. 7.3x the array mass per watt of a 1 AU mission for the same electrical power, and a 35-minute one-way light time: the two numbers that make main-belt mining an autonomy problem before it is a propulsion problem.",2026-09-07,1.15.0
1 Ceres,main_belt,2.5578,2.766,2.9773,177.89091692376545,7.650756,167.33512730469818,9.074,0.5,4.537,9.3835e+20,469730.0,0.28384025357357395,516.3879981392188,3.994,33.2170851216,2026,"Dawn orbited it 2015-2018.  Mass 9.3835e20 kg, mean radius 469.73 km (Russell et al. 2016, Science) - a third of the belt's entire mass in one object, water-rich, and with a 516 m/s escape velocity that makes it the only main-belt body in this table where leaving costs real propellant.",2026-09-07,1.15.0
16 Psyche,main_belt,2.5136,2.923,3.3287,159.29439488553803,8.543929,162.7791583593192,4.196,0.5,2.098,2.29e+19,111000.0,0.12404956578199819,165.94879813847282,4.3454,36.13958980656,2026,"The Psyche mission arrives 2029.  Mass 2.29e19 kg, mean radius ~111 km (Siltala & Granvik 2021).  Present because it is the body most often named as a metal resource; ⚠️  the '$10 quintillion' framing that follows it around is a spot price multiplied by a mass, which is not a market, and nothing in this dataset supports it.",2026-09-07,1.15.0
"Main belt, outer edge",main_belt,3.0,3.2,3.5,132.91015624999997,10.240000000000002,155.57442953454787,8.0,0.5,4.0,,,,,4.5167,37.56424846488,2026,"Past the 2:1 Kirkwood gap.  10.2x the array mass per watt of 1 AU, and blackbody equilibrium is down to 156 K - the distance at which solar electric propulsion stops being the obvious choice and nuclear electric starts to be.",2026-09-07,1.15.0
Jupiter Trojans (L4/L5),trojan,4.9,5.2044,5.5,50.24776957350214,27.085779359999997,121.99102271325957,10.0,0.5,5.0,,,,,6.5167,54.19774126488,2026,"Lucy is touring them through 2033.  27x the array mass per watt of 1 AU, a 54-minute one-way light time, and 122 K.  Included as the boundary case: this is where 1/r² stops being a penalty you pay and becomes an architecture you change.",2026-09-07,1.15.0
Venus orbit,planet_orbit,0.7184,0.7233,0.7282,2601.4842146009246,0.52316289,327.2306490705567,3.3,0.4,1.32,,,,,1.7449,14.51189079336,2026,"1.9x the flux of Earth orbit, so 0.52x the array mass per watt - the reason a solar-electric spacecraft gains, not loses, on an inner gravity-assist leg.  ⚠️  The array is smaller and the RADIATOR is bigger; this table gives the first and not the second.",2026-09-07,1.15.0
Mercury orbit,planet_orbit,0.3075,0.3871,0.4667,9082.633344369076,0.14984641,447.30280403958926,12.0,0.15,1.7999999999999998,,,,,1.4834,12.33706160976,2026,"6.7x Earth's flux and a 0.15x array factor, which MESSENGER and BepiColombo both answer by pointing the arrays AWAY from the Sun: past about 3 solar constants the limit is cell temperature, not cell area, and this column stops describing the design.  The end of the range where 1/r² is the whole story.",2026-09-07,1.15.0
