category,unit,value,range_low,range_high,notes,reference_year,catalog_date,pipeline_version
FAA Part 450 licensing compliance,USD per program,2500000.0,1000000.0,5000000.0,FAA does not charge an application fee; cost is internal engineering + legal + safety-case work for 14 CFR Part 450 compliance (FAA.gov / Congress.gov R48582).  First-of-kind re-entry missions (asteroid sample return) trend upper-end. v1.4.0: this row is the LAUNCH + RE-ENTRY figure; a mission delivering to an in-space depot never re-enters and carries the launch-only row below instead.,2026,2026-09-07,1.14.0
FAA Part 450 licensing (launch only),USD per program,1200000.0,600000.0,2500000.0,"v1.4.0.  Part 450 covers launch AND re-entry as separately licensed activities (14 CFR 450.1).  A mission that delivers to LEO or a cislunar depot performs no re-entry, so it drops the re-entry safety case, the debris-casualty-expectation analysis for the landing footprint, and the range/airspace coordination that dominate the first-of-kind sample-return figure.  Roughly half the combined licence, which is where routine launch-only Part 450 compliance sits.",2026,2026-09-07,1.14.0
Third-party liability insurance,USD per launch,1500000.0,500000.0,3000000.0,FAA-mandated Maximum Probable Loss coverage — statute caps at $500M third-party / $100M US-government per 14 CFR Part 450. Premium covers ground/air harm; distinct from payload insurance.,2026,2026-09-07,1.14.0
Launch insurance,percent of launch+payload value,10.0,5.0,15.0,Market rate per Plane Talking (Gallagher) Q1 2024 — premiums rose from ~6% (early 2023) to ~10% post-Intelsat 33e loss. First-of-kind vehicles at upper end.,2026,2026-09-07,1.14.0
Communications relay & data downlink,USD per Mbit returned,50.0,10.0,200.0,Ka-band; relevant only for high-rate science / 3-D maps.,2026,2026-09-07,1.14.0
Power system (solar + battery),USD per Watt-end-of-life,800.0,500.0,1500.0,Burdened recurring cost for a deep-space PV+battery train.,2026,2026-09-07,1.14.0
Power system specific mass,"Watts per kg of power system, at 1 AU",60.0,30.0,150.0,"v1.4.0.  SYSTEM-level, not array-level: photovoltaic wing + PMAD + battery + deployment structure.  ROSA / iROSA roll-out arrays demonstrate ~150 W/kg at the wing (NASA ROSA flight demo, ISS iROSA 2021+), but batteries, regulation and structure roughly halve that at the system level.  60 W/kg is mid-range for a deep-space PV train.  Scales as 1/r^2 with heliocentric distance — Module 4 applies that per asteroid, which is why main-belt targets are punished so hard once processing power is modelled.
v1.11.0: this row USED to claim it also covered 'power through eclipse and through the night side of a rotating body', and that claim has been removed because it was not true and could not be.  A specific mass cannot express a sizing factor, and the storage duration it implies is a LEO eclipse, not an asteroid night — see 'Power-system row baseline dark period', which names what this figure really carries so Module 4 can charge the increment above it.",2026,2026-09-07,1.14.0
Electric thruster + PPU specific mass,kg per kW of input electrical power,8.0,5.0,15.0,"v1.6.0.  Thruster, power-processing unit, gimbals, xenon/argon feed system, tankage and thermal — NOT the solar array, which is carried separately by the 'Power system specific mass' row and scales 1/r^2.  NASA NEXT-C: 7 kW thruster ~13.5 kg + PPU ~34 kg ≈ 7 kg/kW.  Gateway AEPS: 12.5 kW Hall, similar class. 8 kg/kW allows for feed system and structure.
⚠️  SUPERSEDED for Module 4 v1.12.0 and retained as the fallback for a stale catalog.  Lumping thruster and PPU into one per-kW figure is what let a micronewton device be sized as a cargo tug: buy the kilowatts and you got the thrust.  They scale on different quantities — a PPU is a power converter (kg/kW, the row below) and a thruster head makes momentum (kg/N, per technology, in _THRUSTER_SYSTEMS).",2026,2026-09-07,1.14.0
Power processing unit specific mass,kg per kW of input electrical power,4.7,3.0,8.0,"v1.10.0.  The PPU alone, split out of the combined row above. NASA NEXT-C: 34.5 kg of PPU at 7.4 kW = 4.66 kg/kW.  A PPU converts bus power to the discharge and does not care what it is feeding, so it is the half of the old 8 kg/kW that really does scale with POWER.  The other half — the thruster head — scales with THRUST and is per-technology, because that is exactly where a pulsed plasma thruster and a gridded ion engine stop being interchangeable.  Together they reproduce NEXT-C: 4.7 x 7.4 + 54 x 0.236 = 47.5 kg against 47.2 kg measured (12.7 kg thruster + 34.5 kg PPU).",2026,2026-09-07,1.14.0
Electric propulsion system recurring cost,USD per kW of input electrical power (thruster + PPU),1500000.0,500000.0,3000000.0,"v1.8.2.  Recurring cost of the electric PROPULSION train — thruster, power-processing unit, gimbals, feed system, thermal.  NOT the solar array, which is priced separately off the 'Power system (solar + battery)' row at $/W and is far cheaper per kilogram.
Anchor: a NASA NEXT-C flight string is a 7 kW gridded-ion thruster plus PPU at roughly 47 kg, procured in the $10-15M-per-string class as a flight article — call it $1.5-2M/kW.  High-power Hall systems buy down from there: Psyche's SPT-140 strings and Gateway's 12.5 kW AEPS are cheaper per kilowatt than NEXT-C, which is why the range runs down to $500k/kW and why the figure should be expected to fall if multi-hundred-kW deep-space EP is ever built.
SOFT: no multi-hundred-kW deep-space electric stage has flown, and this pipeline sizes some missions at 300 kW — six times the largest article yet built.  Extrapolating a per-kW price that far is a judgement, not a quote.  It is here because the alternative was worse: before v1.8.2 the electric stage entered the rocket equation as mass and appeared in NO cost line at all, so a 14-tonne, 309 kW propulsion system was free and electric propulsion won on hardware nobody had to buy.",2026,2026-09-07,1.14.0
Electric propulsion efficiency,fraction of input power converted to jet power,0.6,0.45,0.72,"v1.6.0.  Total efficiency (anode × mass-utilisation × PPU). Hall thrusters run 0.50-0.60; gridded ion (NEXT) reaches 0.65-0.70 at high specific impulse.  Sets thrust for a given power: T = 2·η·P / (Isp·g0), which is what makes low-thrust trip time computable at all.",2026,2026-09-07,1.14.0
Water liberation energy (bound water),Watt-hours per kg of water extracted,2500.0,1000.0,5000.0,"v1.6.0.  C/B/D-type 'ice' is not ice — it is water bound into phyllosilicates, and getting it out means heating the rock past dehydroxylation, not melting a cube.  Arithmetic for a 10 wt% hydrated body, per kg of WATER recovered: heat 10 kg of rock from ~200 K to ~700 K at c_p ≈ 800 J/kg·K = 4.0 MJ; dehydroxylation enthalpy of serpentine ≈ 250 kJ/kg of rock = 2.5 MJ; vaporise and capture 1 kg of water = 2.26 MJ. Total ≈ 8.8 MJ/kg = 2,440 Wh/kg.  Matches the 1-3 kWh/kg range in the asteroid-ISRU literature (Colorado School of Mines / NASA ISRU studies).  Charged ON TOP of the generic beneficiation row, which covers mechanical separation only.",2026,2026-09-07,1.14.0
RTG (radioisotope power),USD per Watt-electric,500000.0,200000.0,1000000.0,"Pu-238 supply-constrained (NASA / DOE target 1.5 kg/yr production by 2026).  Historical Russian Pu-238 ~$2.5M/kg; with 6-8% RTG conversion efficiency a 50-W RTG costs ~$1M just in fuel (Space.com / NASA NIAC).  Only used past ~3 AU when PV starves.
v1.9.0: this row existed from v1.2.0 and NOTHING READ IT.  A 3.5 AU target flew a photovoltaic array starved by 1/r² with no nuclear alternative anywhere in the model, which is the reason main-belt bodies were punished as hard as they were. Module 4 now picks whichever of PV and RTG is lighter for the target's heliocentric distance and pays the corresponding rate — this one, or the $800/W solar row.",2026,2026-09-07,1.14.0
RTG specific power,Watts-electric per kg of RTG,5.0,2.4,5.5,"v1.9.0.  The nuclear counterpart to 'Power system specific mass', and the reason it is a separate row: this one does NOT scale with heliocentric distance.
GPHS-RTG (Cassini, New Horizons, Galileo): 290 We at 56 kg = 5.2 W/kg.  MMRTG (Curiosity, Perseverance): 110 We at 45 kg = 2.4 W/kg, worse because it is qualified to run in an atmosphere as well as vacuum.  5.0 W/kg takes the deep-space-only design.
The crossover against the 60 W/kg-at-1-AU solar row is at sqrt(60/5) = 3.46 AU: inside that, PV is lighter per watt; outside it, nothing beats a radioisotope.  RTGs cost ~625× more per watt ($500k vs $800), so the model buys the smallest one that does the job, which is exactly how real outer-planet missions are sized.  Supply is the real constraint and it is NOT priced here: DOE Pu-238 production runs ~1.5 kg/yr, enough for roughly one flagship RTG a year for the entire world, so any programme flying more than a couple of these does not have a cost problem, it has an allocation problem.",2026,2026-09-07,1.14.0
Eclipse / night-side dark fraction,fraction of the time a surface rig sees no sun,0.5,0.35,0.55,"v1.11.0.  A rig anchored to a rotating body stands on a surface that is lit half the time, by geometry — the same 0.50 STORAGE_REFERENCE has carried since v1.9.0, moved here so Module 4 can actually read it.  Ranges below 0.5 for a high-latitude or near-polar emplacement on a body with obliquity, above it for an equatorial site with local horizon shadowing.
This is a SIZING factor, not a specific mass, and that is why no W/kg figure can absorb it: to deliver P continuously through a dark fraction f you must INSTALL P·[(1−f) + f/η_rt]/(1−f) of generating capacity, because the sunlit hours have to run the load and recharge the store as well.  At f = 0.50 and η_rt = 0.90 that is 2.11×.
The alternative architecture is to mine at half duty cycle and take twice the stay time instead; Module 4 sizes the storage rather than halving the duty, which is the choice that leaves mission duration comparable across bodies.
Does NOT apply to a radioisotope source — an RTG's output is flat — and does not apply to the electric-propulsion array, which is in interplanetary cruise and in permanent sunlight.",2026,2026-09-07,1.14.0
Energy storage usable specific energy,usable Watt-hours per kg of storage system,104.0,70.0,160.0,"v1.11.0.  130 Wh/kg at the system level (STORAGE_REFERENCE 'Li-ion battery (system level)': cells reach 250-300 Wh/kg and packaging, harness, balancing and thermal roughly halve it) × 0.80 depth of discharge = 104 Wh/kg USABLE.  DoD is folded in here rather than carried as a fourth row because a consumer that forgets to apply it silently oversizes the mission by 25%, and this table's job is to hand Module 4 the number it should divide by.
A regenerative fuel cell (400 Wh/kg, TRL 5) is the obvious architecture for a multi-hour dark period and would cut this term by ~4×; it is not taken, because nothing has flown one and this row is the operational choice.",2026,2026-09-07,1.14.0
Energy storage round-trip efficiency,fraction of stored energy recovered,0.9,0.8,0.95,"v1.11.0.  Charge and discharge losses through the cells and the regulator.  Li-ion cells alone run 0.92-0.96 round trip; 0.90 takes the loss through PMAD as well.  This is the term that makes the array oversize worse than the naive 1/(1−f): the energy that goes through the store has to be generated twice over, once for the load and once for the loss.  At f = 0.50 it is the difference between 2.00× and 2.11×.",2026,2026-09-07,1.14.0
Power-system row baseline dark period,hours of darkness already covered by the 60 W/kg row,0.58,0.0,1.2,"v1.11.0.  The deduction that stops Module 4 double-charging the battery.  'Power system specific mass' is 60 W/kg SYSTEM-level against ROSA's ~150 W/kg at the wing, and part of that 2.5× is a battery — so some storage is already paid for and only the INCREMENT above it is new.
0.58 h is the standard LEO eclipse (35 min of a ~92 min orbit), which is the storage duration a conventional deep-space PV train is specified against.  Arithmetic: 0.58 h of 1 W at 104 Wh/kg usable is 0.0056 kg/W, against the row's own 1/60 = 0.0167 kg/W of total plant — a third of it, which is why deducting it matters rather than being a nicety.
⚠️  The 'Power system specific mass' row's own notes claim it covers 'power through eclipse and through the night side of a rotating body'.  It cannot cover both: an asteroid with a 10 h rotation is dark for 5 h, roughly 9× the LEO figure, and no single specific mass can be right for both duty cycles. That contradiction is the argon failure in a new place — a reference row asserting two incompatible states at once — and this row resolves it by naming which of the two the 60 W/kg figure actually is.",2026,2026-09-07,1.14.0
Volatile cargo containment,kg of containment per kg of volatile cargo,0.05,0.03,0.12,"v1.11.0.  Water sold at a depot has to still be water when it arrives.  Exposed ice in sunlight at 1 AU sits far above its sublimation threshold and is simply gone over a multi-year cruise; shaded, sealed and blanketed it is stable for decades.  So the charge is a sealed shaded hold — no power, no cryocooler, but real mass.
Carried in STORAGE_REFERENCE since v1.9.0 with '⚠️  NOT modelled in Module 4' on it, and duplicated here because that table is not one Module 4 loads.  It is INCREMENTAL to the 0.15 ore-restraint fraction Module 4 already flies as `return_structure_frac_of_payload`: the hopper holds the cargo, the seal and shade keep the volatile fraction of it from leaving.  That reading is what makes the storage row's own 'heavier than an ore hopper' true at a value below 0.15.
Charged on WATER only, which is what the citation covers. Carbon and organics are refractory at these temperatures and ride in the hopper like rock.",2026,2026-09-07,1.14.0
Drilling / excavation energy,Watt-hours per kg of regolith extracted,200.0,50.0,500.0,"Range derived from Zacny et al. (NIAC studies on asteroid / lunar regolith excavation) — loose regolith ≲50 Wh/kg, consolidated rock ≳500 Wh/kg.  Pairs with the power-system row to size mining rig (kg-extracted per installed-kW-hr).",2026,2026-09-07,1.14.0
Beneficiation / on-site processing energy,Watt-hours per kg of refined product,500.0,100.0,2000.0,Magnetic / electrostatic / thermal concentration to ~50% purity. Lunar / asteroid ISRU literature (NASA Money-Mass-ematics 2023). Trades in-flight energy for a much smaller return-mass × prop bill.,2026,2026-09-07,1.14.0
Autonomous mining control & AI (NRE),USD per program,200000000.0,50000000.0,500000000.0,"Pipeline assumes fully UNCREWED autonomous mining — no life support, no crew habitat.  This line item captures the one-time NRE for autonomous regolith-assessment vision, sample-collection control logic, station-keeping autonomy, and remote-fault-recovery software.  Anchor: Mars 2020 / Perseverance autonomy stack ≈ $150M of $2.4B program; asteroid mining trends upper end of range due to longer Earth-spacecraft light-time (decisions must be local) and novel regolith-contact mechanics.  Treated as in addition to the bus 'Spacecraft development (NRE)' line above.",2026,2026-09-07,1.14.0
Sample recovery operations,USD per recovery,15000000.0,5000000.0,30000000.0,"Search-and-recovery teams, helicopters / ships, clean-room transport, range coverage.  Modelled on OSIRIS-REx UTTR landing (Sept 2023). NOTE: NASA has not published a standalone recovery-ops figure; $15M is an order-of-magnitude estimate from the broader $283M / 9 yr operations envelope — refine with project-specific data when available.",2026,2026-09-07,1.14.0
Launch vehicle reliability,probability of a successful launch,0.97,0.9,0.99,"v1.7.0.  Falcon 9 has flown >99% success over 300+ flights; a first-flight or low-cadence vehicle sits near 0.90.  0.97 is a fleet-representative figure for an operational booster on a high-value payload.  Distinct from launch insurance, which replaces the HARDWARE on failure — it does not replace the revenue the mission would have earned.",2026,2026-09-07,1.14.0
Spacecraft mean time between failures,years of deep-space operation,30.0,15.0,60.0,"v1.7.0.  Exponential survival: P = exp(-T/MTBF).  Anchors span the record — Voyager 1/2 past 45 years, New Horizons 19+, Dawn 11 (ended on hydrazine exhaustion, not failure), against Akatsuki's orbit-insertion loss and Hayabusa's near-total systems failure at 4 years.  30 years puts a 5-year mission at 85% survival, which matches the broad deep-space record.",2026,2026-09-07,1.14.0
Mining system first-of-kind success probability,probability the rig works as designed,0.85,0.7,0.95,"v1.8.1.  Probability the excavation and beneficiation chain works once it arrives — separate from the spacecraft surviving the trip.  Counted from the actual flight record of regolith-contact mechanisms rather than from the failures alone, which is what v1.7.0's 0.75 did and it was unfairly harsh:
  SUCCEEDED (10): Apollo 15-17 drills and scoops; Luna 16 / 20 / 24 drills; Stardust aerogel; Phoenix arm (sticky soil delayed delivery but it worked); Curiosity drill (feed mechanism failed 2016, recovered by feed-extended drilling); Hayabusa2 sampler and SCI impactor, both touchdowns clean; OSIRIS-REx TAGSAM, 121.6 g against a 60 g requirement; Perseverance coring drill; Chang'e 5 and 6 drill + scoop.
  PARTIAL (1): Hayabusa — the projectile never fired, but contact dust was still collected and returned.
  FAILED (2): Philae's harpoon pyrotechnics; InSight's HP3 mole, which could not get purchase in Martian regolith.
That is 11/13 = 0.85 counting Hayabusa as the success it ultimately was, or 10/13 = 0.77 counting it as a loss.  0.85 is taken because Hayabusa did return its sample.
The honest caveat is that NONE of these is sustained mining — they are one-shot or short-campaign collections of grams to kilograms, not a rig moving 200 kg/day for years with no maintenance.  0.85 is therefore the demonstrated mechanism rate, and the sustained-operation risk on top of it is carried by the spacecraft MTBF term rather than double-counted here.  Grows with flight heritage — see 'Mining reliability growth exponent'.",2026,2026-09-07,1.14.0
Mining reliability growth exponent,Duane / AMSAA growth parameter (alpha),0.3,0.1,0.6,"v1.9.0.  Reliability is not static across a programme — it grows as failure modes are found and designed out.  The Duane model has failure probability fall as n^(-alpha) with cumulative production, and MIL-HDBK-189 puts alpha at 0.3-0.6 for an ACTIVE reliability-growth programme (one that root-causes every anomaly and feeds fixes back) against 0.1-0.2 for passive fielding.  0.30 is the bottom of the active band — appropriate for hardware that flies once every few years, where each mission is a slow, expensive lesson and there is no test fleet to accelerate the learning.",2026,2026-09-07,1.14.0
Mining system mature success probability,asymptotic ceiling on rig success probability,0.95,0.85,0.99,"v1.9.0.  Growth is asymptotic, not unbounded — no amount of flight heritage makes a machine that grinds rock in vacuum certain to work.  0.95 is where mature, high-cycle spacecraft MECHANISMS sit: solar-array and antenna deployments run ~97-99% across the fleet record, and a continuously-operating excavator is harder than a one-shot deployment.  Without this ceiling the Duane curve would eventually promise certainty, which no mechanism earns.",2026,2026-09-07,1.14.0
Mining rig service life,years of operation before wear-out,15.0,5.0,30.0,"v1.7.0.  Caps how many missions one rig can actually serve, which the old flat amortisation ignored — you cannot spread a rig across 100 missions of 2 years each.  Bounded by abrasive wear on regolith-contact mechanisms, thermal cycling and radiation, not by propellant.  ISS-class hardware is rated 15-30 years; a machine chewing rock is at the low end.  Whatever life is left when the programme ends is credited back as terminal value.",2026,2026-09-07,1.14.0
Mining rig maximum trips,mining campaigns before wear-out,5.0,2.0,12.0,"v1.12.0.  The SECOND half of rig service life, and the half that was missing: 'Mining rig service life' above is a CALENDAR bound, and calendar time is not what wears out a machine that cuts rock.  Duty cycles are.  A rig sitting idle between campaigns ages slowly; one digging continuously eats cutting surfaces, seals and bearings on unweathered, angular, never-water-rounded regolith.  Module 4 took min(years/stay) alone, so at a short stay one rig served 12 consecutive campaigns on the strength of a number that only ever said it would not corrode meanwhile.  ⚠️  JUDGEMENT, and there is no flight heritage for it — nothing has ever mined an asteroid twice.  Bracketed from the two nearest analogues, which disagree in the useful direction.  TERRESTRIAL: mobile mining plant reaches major overhaul near 15,000-25,000 operating hours (~2-3 yr of continuous duty, i.e. ~2 campaigns at this model's ~1.25 yr stay) and survives 2-3 rebuilds before the frame is retired — but every one of those rebuilds happens in a workshop, and there is no workshop at an asteroid.  FLIGHT: every regolith-contact mechanism ever flown was single-campaign by design or failed inside one — TAGSAM fired once, Philae's harpoons did not fire, InSight's mole never buried itself, and Curiosity's drill lost its feed mechanism partway through its first decade.  5 is therefore already the optimistic reading of both: rebuild-interval life, achieved un-rebuilt.  range_low 2 is one overhaul interval; range_high 12 restores the pre-v1.12.0 behaviour, where the calendar bound was the only bound.  Set Module 4's `model_rig_trip_limit = False` for that exactly.",2026,2026-09-07,1.14.0
Rig salvage fraction,fraction of remaining book value recoverable,0.5,0.0,0.8,"v1.7.0.  A part-worn rig parked on a specific asteroid is worth something to whoever goes there next and nothing to anyone else — an illiquid, location-locked asset with a market of approximately one buyer.  Half of remaining book value is a deliberately unheroic haircut.  Set 0.0 to model abandonment.",2026,2026-09-07,1.14.0
In-space processing plant throughput,kg processed per year per kg of plant,100.0,20.0,500.0,"v1.7.0.  Sizes the refinery that turns raw asteroid feedstock into something a depot can actually build with.  Terrestrial smelters run 1,000x their own mass per year; 100x is a heavy derating for microgravity, no convection, no gravity-fed materials handling and full autonomy.  Combined with the $300k/kg recurring hardware rate this sets the capital charge per kg refined.",2026,2026-09-07,1.14.0
Cost of capital (WACC),annualised fraction,0.1,0.075,0.15,Boeing 7.5% / Howmet 8.3% WACC (ValueInvesting.io 2026) as the industrial floor; asteroid-mining ventures carry a startup risk premium to ~10-15% (Damodaran NYU Stern industry tables).  A 7-yr mission at 10% WACC ⇒ ~1.95× capital multiplier on Day-1 spend. Module 4 should compound this across mission_duration_yr.,2026,2026-09-07,1.14.0
Contingency reserve,percent of total mission cost,20.0,15.0,50.0,Industry-standard; first-of-kind missions carry the upper end.,2026,2026-09-07,1.14.0
